start reading files at Sun Dec  3 16:15:13 2023

omp_get_num_threads()=4
Invalid line in data file "TypeOutput				1	1	1	1
"
Invalid line in data file "
"
start initialization at Sun Dec  3 16:15:13 2023

N0a = 9.743096e-01, count=36
N0p = 5.500161e-01, count=8
line:1206 CellCount[DIM]: 35 12 1
line:1207 TotalCellCount: 420
line:1212 CellWidth[DIM]: 1.785714e-02 1.875000e-02 2.000000e-02
start main roop at Sun Dec  3 16:15:14 2023

@ Prof Output Time : 0.000000e+00
line:4564, iter,=123, rr0=,3.838726e+10, rr=,3.622274e-02, rs0=,1.462404e+02, rs=,7.570797e-12
line:4564, iter,=238, rr0=,6.070801e+13, rr=,5.808977e+01, rs0=,2.549828e+05, rs=,1.230874e-08
line:4564, iter,=238, rr0=,6.214767e+13, rr=,5.871683e+01, rs0=,2.610086e+05, rs=,1.236215e-08
line:4564, iter,=237, rr0=,6.360334e+13, rr=,6.301357e+01, rs0=,2.671004e+05, rs=,1.342876e-08
line:4564, iter,=237, rr0=,6.507495e+13, rr=,6.291776e+01, rs0=,2.732577e+05, rs=,1.349262e-08
line:4564, iter,=237, rr0=,6.656245e+13, rr=,6.293779e+01, rs0=,2.794808e+05, rs=,1.357138e-08
line:4564, iter,=236, rr0=,6.806577e+13, rr=,6.791269e+01, rs0=,2.857694e+05, rs=,1.456875e-08
line:4564, iter,=236, rr0=,6.958487e+13, rr=,6.729419e+01, rs0=,2.921233e+05, rs=,1.447768e-08
line:4564, iter,=236, rr0=,7.111974e+13, rr=,6.691271e+01, rs0=,2.985418e+05, rs=,1.443376e-08
line:4564, iter,=235, rr0=,7.267033e+13, rr=,7.129817e+01, rs0=,3.050244e+05, rs=,1.536612e-08
line:4564, iter,=235, rr0=,7.423657e+13, rr=,7.034455e+01, rs0=,3.115703e+05, rs=,1.514734e-08
line:4564, iter,=234, rr0=,7.581843e+13, rr=,7.389912e+01, rs0=,3.181798e+05, rs=,1.598807e-08
line:4564, iter,=234, rr0=,7.741587e+13, rr=,7.313398e+01, rs0=,3.248526e+05, rs=,1.590786e-08
line:4564, iter,=233, rr0=,7.902883e+13, rr=,7.842527e+01, rs0=,3.315884e+05, rs=,1.690989e-08
line:4564, iter,=233, rr0=,8.065727e+13, rr=,7.754627e+01, rs0=,3.383874e+05, rs=,1.677053e-08
line:4564, iter,=233, rr0=,8.230116e+13, rr=,7.691726e+01, rs0=,3.452498e+05, rs=,1.665209e-08
line:4564, iter,=232, rr0=,8.396036e+13, rr=,8.190431e+01, rs0=,3.521739e+05, rs=,1.768319e-08
line:4564, iter,=232, rr0=,8.563486e+13, rr=,8.136880e+01, rs0=,3.591605e+05, rs=,1.756904e-08
line:4564, iter,=231, rr0=,8.732453e+13, rr=,8.729960e+01, rs0=,3.662095e+05, rs=,1.882032e-08
line:4564, iter,=231, rr0=,8.902932e+13, rr=,8.679942e+01, rs0=,3.733211e+05, rs=,1.871512e-08
line:4564, iter,=231, rr0=,9.074918e+13, rr=,8.623390e+01, rs0=,3.804942e+05, rs=,1.861212e-08
